county_name,year,yield_lbs_acre,tmax_mean_grow,tmin_mean_grow,frost_days_bloom,precip_total_grow,precip_rolling_30,precip_rolling_60,precip_rolling_90,temp_variance_grow,gdd_total_grow,precip_deviation,yield_lag1,year_numeric,log_yield,stress_score,stress_level
Florida (Statewide),1990,24840.0,92.4349593495935,72.63821138211382,0,582.295,255.397,406.273,506.857,2.877954184002804,4002.0,-119.53663333333338,,1990,10.12025079288605,0.4255075360089493,LOW
Florida (Statewide),1991,32400.0,91.22357723577235,73.02032520325203,1,793.496,315.34099999999995,542.29,675.6399999999999,2.814047936162163,3951.0,91.66436666666664,24840.0,1991,10.385944565501662,0.7743049259171191,MODERATE
Florida (Statewide),1992,28350.0,91.03658536585364,71.07723577235772,0,579.755,255.524,348.61499999999995,559.5619999999999,3.8704273558398254,3820.0,-122.07663333333336,32400.0,1992,10.252417581902414,0.4396990588449307,LOW
Florida (Statewide),1993,34290.0,91.65040650406505,71.44715447154472,0,402.59,158.369,257.17499999999995,359.537,3.606650823308077,3880.5,-299.24163333333337,28350.0,1993,10.442638208053022,0.777980853133311,MODERATE
Florida (Statewide),1994,30690.0,91.04878048780488,71.95528455284553,0,775.716,328.803,542.798,748.5379999999999,2.711099403564834,3874.75,73.88436666666666,34290.0,1994,10.33172473098649,0.34392477923695053,LOW
Florida (Statewide),1995,32850.0,91.83333333333331,73.65853658536585,1,884.301,355.473,589.407,827.278,3.406639290683797,4027.75,182.4693666666667,30690.0,1995,10.39973746484973,0.9455570086682997,MODERATE
Florida (Statewide),1996,30780.0,89.3821138211382,74.11382113821138,3,521.208,265.938,351.282,495.808,2.9462961610988416,3905.0,-180.62363333333337,32850.0,1996,10.334652895494106,1.3480934869494585,HIGH
Florida (Statewide),1997,32580.0,88.869918699187,73.6178861788618,1,459.486,236.22000000000003,399.796,433.832,3.423542766682375,3843.0,-242.34563333333332,30780.0,1997,10.391484575362098,1.0702827448894876,HIGH
Florida (Statewide),1998,36090.0,91.22764227642276,75.02032520325203,0,551.9419999999999,315.214,476.885,527.939,4.017508827925627,4074.25,-149.88963333333345,32580.0,1998,10.493798805759472,0.4805500686487654,LOW
Florida (Statewide),1999,27360.0,89.5,72.9349593495935,1,467.233,184.404,290.068,415.417,3.642868622840891,3839.75,-234.5986333333334,36090.0,1999,10.216873920776164,1.055523117176102,HIGH
Florida (Statewide),2000,34830.0,90.84552845528457,73.1219512195122,0,479.298,222.631,376.682,477.901,2.678183016081291,3934.0,-222.5336333333333,27360.0,2000,10.458263073829322,0.6273970010500971,MODERATE
Florida (Statewide),2001,33210.0,89.38617886178862,72.57723577235772,2,578.7389999999998,257.81,451.231,536.0669999999999,3.509245988865583,3810.75,-123.09263333333354,34830.0,2001,10.410636425329676,1.2421534705249462,HIGH
Florida (Statewide),2002,35280.0,89.26829268292683,73.08943089430895,0,842.7719999999999,349.12300000000005,569.2139999999999,783.082,3.073080290362033,3835.0,140.9403666666666,33210.0,2002,10.471099854390229,0.475257599512404,LOW
Florida (Statewide),2003,31050.0,89.130081300813,74.13414634146342,1,768.223,306.324,494.792,701.04,2.6003131891871387,3890.75,66.39136666666661,35280.0,2003,10.34338629296218,0.7286540220037276,MODERATE
Florida (Statewide),2004,38520.0,90.02845528455285,73.48780487804878,0,834.644,412.496,614.1719999999999,790.956,3.0764179810772805,3906.25,132.81236666666666,31050.0,2004,10.558958826115072,0.4558778349378403,LOW
Florida (Statewide),2005,24840.0,89.20325203252033,74.01626016260163,1,711.581,413.131,540.766,650.2399999999999,4.0820666366588005,3888.0,9.749366666666674,38520.0,2005,10.12025079288605,0.619623908508481,MODERATE
Florida (Statewide),2006,27090.0,89.9430894308943,73.4349593495935,0,596.392,225.171,408.559,519.43,3.1914352930368928,3897.75,-105.43963333333328,24840.0,2006,10.206956848388238,0.40355541640147646,LOW
Florida (Statewide),2007,24390.0,90.39430894308944,73.47560975609755,0,608.3299999999999,259.334,402.844,538.9879999999999,3.666000205991429,3928.0,-93.50163333333342,27090.0,2007,10.101969490779476,0.479003288087261,LOW
Florida (Statewide),2008,33030.0,89.68834688346884,71.78184281842819,1,725.8473333333334,278.72266666666667,474.13333333333327,697.1453333333334,2.810496147072802,3780.416666666667,24.01570000000004,24390.0,2008,10.405201793433656,0.6528362240844423,MODERATE
Florida (Statewide),2009,31860.0,90.4539295392954,72.1720867208672,3,845.9893333333334,305.562,570.992,750.2313333333333,3.269351858152939,3851.500000000001,144.1577000000001,33030.0,2009,10.369137970290993,1.2805864354105867,HIGH
Florida (Statewide),2010,26640.0,91.24119241192412,74.13008130081302,7,625.7713333333334,267.29266666666666,457.03066666666666,562.0173333333333,2.9113498183904545,4020.3333333333335,-76.06029999999998,31860.0,2010,10.190206661487348,1.1408213013743067,HIGH
Florida (Statewide),2011,28710.0,91.19783197831978,72.58536585365853,1,652.9493333333334,292.77733333333333,490.8973333333333,584.8773333333332,3.18518811252281,3922.666666666667,-48.88229999999999,26640.0,2011,10.265035603577836,0.6932740462078236,MODERATE
Florida (Statewide),2012,30420.0,89.96815718157181,72.30420054200542,1,880.2370000000001,366.395,548.4495,773.049,2.863658041324337,3829.75,178.40536666666674,28710.0,2012,10.32288843838277,0.9477469366211967,MODERATE
Florida (Statewide),2013,27990.0,89.15040650406505,71.7439024390244,0,926.5285,338.836,616.1405,811.3394999999999,3.471006940019318,3745.0,224.69686666666652,30420.0,2013,10.239638308916676,0.6415834075045008,MODERATE
Florida (Statewide),2014,22500.0,90.6239837398374,71.9410569105691,0,644.8425,256.413,393.446,507.3015,3.186866938700037,3847.75,-56.98913333333337,27990.0,2014,10.021315031649332,0.4127749066976206,LOW
Florida (Statewide),2015,21510.0,90.98577235772358,72.83672086720868,1,891.6669999999999,345.5035,570.9285,808.0374999999999,2.9665658812981213,3925.0833333333335,189.83536666666657,22500.0,2015,9.976319711185798,1.0648251049169333,HIGH
Florida (Statewide),2016,18990.0,91.18631436314362,73.29065040650407,0,721.1906666666666,245.6815,373.0413333333333,597.5561666666667,3.3149781739565656,3965.3333333333335,19.359033333333286,21510.0,2016,9.851720461714246,0.3342289113580582,LOW
Florida (Statewide),2017,16830.0,91.18360433604336,72.89566395663957,0,859.3666666666666,312.5681666666666,575.0136666666666,784.3096666666665,3.326426576569381,3940.875,157.53503333333322,18990.0,2017,9.730977703126166,0.6017721232694766,MODERATE
Florida (Statewide),2018,11250.0,90.07249322493226,73.29268292682927,1,962.9139999999998,339.7885,548.1954999999999,764.4976666666666,3.220900257499547,3896.9583333333335,261.0823666666664,16830.0,2018,9.328212292571072,1.2035826660930256,HIGH
Florida (Statewide),2019,18270.0,91.49322493224932,73.74119241192412,0,846.709,312.9703333333333,516.4454999999999,740.664,2.710000401096878,4011.916666666667,144.8773666666666,11250.0,2019,9.813070382411665,0.5738671087613879,MODERATE
Florida (Statewide),2020,17280.0,91.33333333333331,73.4451219512195,0,709.1044999999999,284.48,435.1655,617.093,3.27835466196345,3983.875,7.272866666666573,18270.0,2020,9.757362911053992,0.3100174923247283,LOW
Florida (Statewide),2021,13860.0,91.10772357723576,73.3821138211382,0,639.953,340.868,530.2884999999999,626.6814999999999,2.6222333782821963,3966.125,-61.87863333333337,17280.0,2021,9.536834420213353,0.41614208696009536,LOW
Florida (Statewide),2022,11700.0,92.5880758807588,73.92344173441735,1,642.6623333333333,239.6913333333333,400.89666666666665,548.4071666666667,2.5716796198311056,4090.4583333333335,-59.16930000000002,13860.0,2022,9.367429587218956,0.8049358457262771,MODERATE
Florida (Statewide),2023,5130.0,92.02235772357724,73.67682926829268,0,735.5205,266.1285,464.7565,606.679,3.052479529959375,4040.5,33.68886666666663,11700.0,2023,8.543055850941965,0.3581850079459711,LOW
Florida (Statewide),2024,7020.0,92.72967479674796,74.60569105691057,0,814.8531666666667,345.3976666666667,585.1101666666667,759.8621666666667,2.249907442525883,4141.125,113.02153333333332,5130.0,2024,8.85666093701725,0.5063953274674806,MODERATE
