county_name,year,tmax_mean_grow,tmin_mean_grow,frost_days_bloom,precip_total_grow,precip_rolling_30,precip_rolling_60,precip_rolling_90,temp_variance_grow,gdd_total_grow,precip_deviation,bearing_acres
DeSoto,1990,92.17073170731707,68.65853658536585,0,220.726,114.554,167.894,218.94799999999998,2.31072807017924,3741.0,-507.0493142857141,
DeSoto,1991,89.71900826446281,72.16528925619835,0,653.5419999999999,386.334,504.698,578.3580000000001,3.194326064800596,3722.0,-74.23331428571419,
DeSoto,1992,85.869918699187,66.3170731707317,4,842.0100000000001,568.452,753.6179999999999,808.736,4.958779843300124,3209.5,114.234685714286,
DeSoto,1993,92.72413793103448,70.51724137931035,0,167.13199999999998,167.132,,,3.3476703170599307,917.0,-560.6433142857142,
DeSoto,1994,90.6178861788618,67.79674796747967,0,670.0519999999999,344.16999999999996,476.50399999999996,604.52,3.4224914834301154,3592.5,-57.723314285714196,
DeSoto,1995,90.56302521008404,69.95798319327731,6,914.908,387.604,590.042,817.3720000000001,3.4924583529108397,3601.0,187.1326857142859,
DeSoto,1996,89.85714285714286,68.56302521008404,8,535.432,260.604,426.71999999999997,510.032,3.2813952031748452,3476.0,-192.3433142857141,
DeSoto,1997,90.95528455284553,70.630081300813,2,612.6479999999999,282.19399999999996,444.5,558.038,2.926705842837154,3787.5,-115.12731428571419,
DeSoto,1998,93.075,70.35833333333333,0,521.3349999999999,221.61499999999998,371.98299999999995,495.046,3.346671493295034,3806.0,-206.44031428571418,
DeSoto,1999,90.0569105691057,70.05284552845528,1,797.0519999999998,392.303,566.039,708.152,3.263184638315742,3696.75,69.27668571428569,
DeSoto,2000,91.53252032520325,69.26422764227642,1,621.2839999999999,339.979,504.063,610.997,2.9936680700985807,3739.0,-106.49131428571422,
DeSoto,2001,90.14227642276423,69.0609756097561,8,780.034,352.679,569.5949999999999,745.3629999999999,3.5612442136413023,3641.0,52.25868571428589,
DeSoto,2002,90.0,70.29918032786885,3,728.5989999999998,374.269,528.574,661.162,2.9076701075853593,3678.25,0.8236857142857161,67394.0
DeSoto,2003,89.58536585365853,71.58130081300813,3,799.5919999999999,434.467,591.693,717.804,2.915973052081211,3761.75,71.81668571428577,
